,SA2_NAME,Australia_Housevalue,Australia_Income,Australia_Population,Australia_Education,Australia_Health,Australia_Employment,Australia_Development,Australia_Family,State_Housevalue,State_Income,State_Population,State_Education,State_Health,State_Employment,State_Development,State_Family,SA4_Housevalue,SA4_Income,SA4_Population,SA4_Education,SA4_Health,SA4_Employment,SA4_Development,SA4_Family
0,Braidwood,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
1,Karabar,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium
2,Queanbeyan,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,High,High,High,Medium,Medium,Low,Medium
3,Queanbeyan - East,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Low,Medium,High,Medium,High,Medium,Medium,Low,Medium
4,Queanbeyan Region,Medium,High,Medium,Medium,Low,High,Medium,High,Medium,High,Medium,Medium,Low,Medium,Medium,Medium,High,High,Medium,High,Low,High,Medium,High
5,Queanbeyan West - Jerrabomberra,Medium,High,Medium,Medium,Low,Medium,High,Medium,Medium,High,Medium,Medium,Low,Medium,High,Medium,High,High,High,High,Medium,High,High,High
6,Bombala,Medium,Medium,Medium,Medium,Low,Low,Medium,Low,Low,Medium,Medium,Medium,Medium,Low,Medium,Low,Low,Medium,Medium,Medium,Medium,Low,Medium,Low
7,Cooma,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium
8,Cooma Region,Medium,Medium,Medium,Medium,Low,Low,Medium,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low
9,Jindabyne - Berridale,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium
