,SA2_CODE,SA2_NAME,SA4_NAME_2016,STATE_NAME,lon,lat
0,101021007,Braidwood,Capital Region,New South Wales,149.79322915576034,-35.45507642788625
1,101021008,Karabar,Capital Region,New South Wales,149.23279621788407,-35.37595389762192
2,101021009,Queanbeyan,Capital Region,New South Wales,149.22545216095023,-35.35104082689437
3,101021010,Queanbeyan - East,Capital Region,New South Wales,149.25240687720893,-35.355172916111094
4,101021011,Queanbeyan Region,Capital Region,New South Wales,149.39113778210378,-35.44405790160322
5,101021012,Queanbeyan West - Jerrabomberra,Capital Region,New South Wales,149.2028437282004,-35.37758362928432
6,101031013,Bombala,Capital Region,New South Wales,149.04546793623436,-36.87794002100024
7,101031014,Cooma,Capital Region,New South Wales,149.11939593528524,-36.25020752627191
8,101031015,Cooma Region,Capital Region,New South Wales,149.08219315214404,-36.127133585957715
9,101031016,Jindabyne - Berridale,Capital Region,New South Wales,148.60894163614006,-36.49169921160264
10,101041017,Batemans Bay,Capital Region,New South Wales,150.18171211711817,-35.70111901920588
11,101041018,Batemans Bay - South,Capital Region,New South Wales,150.21063092690582,-35.78400424345425
12,101041019,Bega - Tathra,Capital Region,New South Wales,149.9020941139792,-36.72503838195962
13,101041020,Bega-Eden Hinterland,Capital Region,New South Wales,149.71912834959184,-36.928747558811075
14,101041021,Broulee - Tomakin,Capital Region,New South Wales,150.16168958680976,-35.84601656492585
15,101041023,Eden,Capital Region,New South Wales,149.89098250011978,-37.0313424488038
16,101041024,Eurobodalla Hinterland,Capital Region,New South Wales,150.07224931256286,-35.77461217449402
17,101041025,Merimbula - Tura Beach,Capital Region,New South Wales,149.8821171540408,-36.900202768963396
18,101041026,Moruya - Tuross Head,Capital Region,New South Wales,150.10720702426946,-35.947164450338384
19,101041027,Narooma - Bermagui,Capital Region,New South Wales,150.07371297353475,-36.31308484222084
20,101051539,Goulburn,Capital Region,New South Wales,149.7195734821277,-34.75059152157345
21,101051540,Goulburn Region,Capital Region,New South Wales,149.6046321045483,-34.51646878093706
22,101061541,Yass,Capital Region,New South Wales,148.91595816126917,-34.822864723782246
23,101061542,Yass Region,Capital Region,New South Wales,148.89320263496774,-34.876684871560926
24,101061543,Young,Capital Region,New South Wales,148.35306667981914,-34.32113810961997
25,101061544,Young Region,Capital Region,New South Wales,148.4956259630666,-34.30977976608891
26,102011028,Avoca Beach - Copacabana,Central Coast,New South Wales,151.43017701962322,-33.47542031752933
27,102011029,Box Head - MacMasters Beach,Central Coast,New South Wales,151.3847508805583,-33.50853479940931
28,102011030,Calga - Kulnura,Central Coast,New South Wales,151.17531219295594,-33.33973526458941
29,102011031,Erina - Green Point,Central Coast,New South Wales,151.4024944530111,-33.423248768042974
30,102011032,Gosford - Springfield,Central Coast,New South Wales,151.34788930498846,-33.42525840573445
31,102011033,Kariong,Central Coast,New South Wales,151.2945276298182,-33.43972086527479
32,102011034,Kincumber - Picketts Valley,Central Coast,New South Wales,151.40311850120605,-33.469806426592115
33,102011035,Narara,Central Coast,New South Wales,151.33421458327004,-33.39609635062979
34,102011036,Niagara Park - Lisarow,Central Coast,New South Wales,151.3728224298501,-33.3842808441086
35,102011037,Point Clare - Koolewong,Central Coast,New South Wales,151.31632933921227,-33.44822249068597
36,102011038,Saratoga - Davistown,Central Coast,New South Wales,151.35756010588153,-33.47749849812811
37,102011039,Terrigal - North Avoca,Central Coast,New South Wales,151.42807158602074,-33.44503772364263
38,102011040,Umina - Booker Bay - Patonga,Central Coast,New South Wales,151.29818406692013,-33.52917958379517
39,102011041,Wamberal - Forresters Beach,Central Coast,New South Wales,151.4499469684799,-33.40971000964331
40,102011042,Woy Woy - Blackwall,Central Coast,New South Wales,151.30568166758377,-33.48517971797427
41,102011043,Wyoming,Central Coast,New South Wales,151.36405749985502,-33.404743799249104
42,102021044,Bateau Bay - Killarney Vale,Central Coast,New South Wales,151.46745040424216,-33.37960749616042
43,102021045,Blue Haven - San Remo,Central Coast,New South Wales,151.52417507355992,-33.204061373069116
44,102021046,Budgewoi - Buff Point - Halekulani,Central Coast,New South Wales,151.56087018431177,-33.2266566615488
45,102021047,Chittaway Bay - Tumbi Umbi,Central Coast,New South Wales,151.42828056404213,-33.354485083157805
46,102021048,Gorokan - Kanwal - Charmhaven,Central Coast,New South Wales,151.49474977228417,-33.25794194988447
47,102021049,Jilliby - Yarramalong,Central Coast,New South Wales,151.3241499731997,-33.17298749096153
48,102021050,Lake Munmorah - Mannering Park,Central Coast,New South Wales,151.5759492196448,-33.1804619280254
49,102021051,Ourimbah - Fountaindale,Central Coast,New South Wales,151.33513271147456,-33.31651783400107
50,102021052,Summerland Point - Gwandalan,Central Coast,New South Wales,151.57690424673262,-33.140975202020826
51,102021053,The Entrance,Central Coast,New South Wales,151.51202221981612,-33.3291013609245
52,102021054,Toukley - Norah Head,Central Coast,New South Wales,151.5545866415621,-33.27306999421789
53,102021055,Tuggerah - Kangy Angy,Central Coast,New South Wales,151.41217645649795,-33.304878854222736
54,102021056,Warnervale - Wadalba,Central Coast,New South Wales,151.45815108004587,-33.242031350295846
55,102021057,Wyong,Central Coast,New South Wales,151.43521637055449,-33.27657240417281
56,103011058,Bathurst,Central West,New South Wales,149.5589303937255,-33.39912236685106
57,103011059,Bathurst - East,Central West,New South Wales,149.62919612446947,-33.41526748678203
58,103011060,Bathurst Region,Central West,New South Wales,149.532962059378,-33.44044463105744
59,103011061,Oberon,Central West,New South Wales,149.77570360808838,-33.88802521633229
60,103021062,Condobolin,Central West,New South Wales,147.03377085839682,-32.90815112060395
61,103021063,Cowra,Central West,New South Wales,148.6610342604492,-33.79106146332306
62,103021064,Cowra Region,Central West,New South Wales,148.6829592828724,-33.74020136980363
63,103021065,Forbes,Central West,New South Wales,147.92484424209357,-33.461599222820894
64,103021066,Grenfell,Central West,New South Wales,148.02598558385475,-33.879234616085526
65,103021067,Parkes (NSW),Central West,New South Wales,148.18985186525924,-33.17294258686241
66,103021068,Parkes Region,Central West,New South Wales,148.00147241752495,-32.95369410865072
67,103021069,West Wyalong,Central West,New South Wales,146.9843629954488,-33.90015880868161
68,103031070,Lithgow,Central West,New South Wales,150.12477324837695,-33.47864595086463
69,103031071,Lithgow Region,Central West,New South Wales,150.051403948405,-33.30739038972912
70,103031072,Mudgee,Central West,New South Wales,149.60113921134118,-32.60394535688942
71,103031073,Mudgee Region - East,Central West,New South Wales,150.0281289537814,-32.74829397923902
72,103031074,Mudgee Region - West,Central West,New South Wales,149.5433451624739,-32.40577453624789
73,103041076,Blayney,Central West,New South Wales,149.14389743675255,-33.60785915738872
74,103041077,Orange,Central West,New South Wales,149.11262315089354,-33.301299819863125
75,103041078,Orange - North,Central West,New South Wales,149.12587433789696,-33.24942183554629
76,103041079,Orange Region,Central West,New South Wales,148.84758415589246,-33.14654349924756
77,104011080,Grafton,Coffs Harbour - Grafton,New South Wales,152.93544823482392,-29.677215184806467
78,104011081,Grafton Region,Coffs Harbour - Grafton,New South Wales,152.73794580960205,-29.634877602695035
79,104011082,Maclean - Yamba - Iluka,Coffs Harbour - Grafton,New South Wales,153.26624958899967,-29.420560372585708
80,104021083,Bellingen,Coffs Harbour - Grafton,New South Wales,152.71987301936647,-30.44794905560771
81,104021084,Coffs Harbour - North,Coffs Harbour - Grafton,New South Wales,153.10420017117156,-30.282147197616478
82,104021085,Coffs Harbour - South,Coffs Harbour - Grafton,New South Wales,153.09580756820475,-30.31515304060634
83,104021086,Coramba - Nana Glen - Bucca,Coffs Harbour - Grafton,New South Wales,153.0328733409961,-30.20841172776209
84,104021087,Dorrigo,Coffs Harbour - Grafton,New South Wales,152.62050824497294,-30.21361390282816
85,104021088,Korora - Emerald Beach,Coffs Harbour - Grafton,New South Wales,153.14081889180122,-30.206119709359857
86,104021089,Sawtell - Boambee,Coffs Harbour - Grafton,New South Wales,153.03710767262513,-30.376123378251584
87,104021090,Urunga,Coffs Harbour - Grafton,New South Wales,152.99909536685863,-30.489780139849277
88,104021091,Woolgoolga - Arrawarra,Coffs Harbour - Grafton,New South Wales,153.16688079798084,-30.027746200219052
89,105011092,Bourke - Brewarrina,Far West and Orana,New South Wales,145.7465338763798,-29.912338060513637
90,105011093,Cobar,Far West and Orana,New South Wales,145.484675947755,-31.876033548930433
91,105011094,Coonamble,Far West and Orana,New South Wales,148.22400731450344,-30.979676544651895
92,105011095,Nyngan - Warren,Far West and Orana,New South Wales,147.08068237639296,-31.450491216154973
93,105011096,Walgett - Lightning Ridge,Far West and Orana,New South Wales,148.06617572179337,-29.764686842152415
94,105021097,Broken Hill,Far West and Orana,New South Wales,141.47926792267756,-31.94403571554338
95,105021098,Far West,Far West and Orana,New South Wales,142.71877953712752,-31.094163338746615
96,105031099,Coonabarabran,Far West and Orana,New South Wales,149.40738782912993,-31.35513427287129
97,105031100,Dubbo - East,Far West and Orana,New South Wales,148.6708170035404,-32.247328912727255
98,105031101,Dubbo - South,Far West and Orana,New South Wales,148.62854592004626,-32.26714373372323
99,105031102,Dubbo - West,Far West and Orana,New South Wales,148.58086632917983,-32.23290260081154
100,105031103,Dubbo Region,Far West and Orana,New South Wales,148.70354015616982,-32.26155579709692
101,105031104,Gilgandra,Far West and Orana,New South Wales,148.6426323025041,-31.618503036362725
102,105031105,Narromine,Far West and Orana,New South Wales,148.0532345747544,-32.18110522132509
103,105031106,Wellington,Far West and Orana,New South Wales,148.9638278419756,-32.65158393967996
104,106011107,Branxton - Greta - Pokolbin,Hunter Valley exc Newcastle,New South Wales,151.32550825590073,-32.7098791287073
105,106011108,Cessnock,Hunter Valley exc Newcastle,New South Wales,151.3620756646161,-32.831963446779746
106,106011109,Cessnock Region,Hunter Valley exc Newcastle,New South Wales,151.1891139765006,-32.96265390769565
107,106011110,Dungog,Hunter Valley exc Newcastle,New South Wales,151.60828730721238,-32.3495605186885
108,106011111,Kurri Kurri - Abermain,Hunter Valley exc Newcastle,New South Wales,151.46112105746732,-32.800677606370094
109,106011112,Singleton,Hunter Valley exc Newcastle,New South Wales,151.1772837464461,-32.57522870984244
110,106011113,Singleton Region,Hunter Valley exc Newcastle,New South Wales,151.01009327441324,-32.6294116386208
111,106021114,Maitland,Hunter Valley exc Newcastle,New South Wales,151.53880911576414,-32.760086252684424
112,106021115,Maitland - East,Hunter Valley exc Newcastle,New South Wales,151.60046735055815,-32.754321796381795
113,106021116,Maitland - North,Hunter Valley exc Newcastle,New South Wales,151.57903217102103,-32.67706315674131
114,106021117,Maitland - West,Hunter Valley exc Newcastle,New South Wales,151.48360861998253,-32.68468799147435
115,106021118,Thornton - Millers Forest,Hunter Valley exc Newcastle,New South Wales,151.6707101312191,-32.76311928170658
116,106031119,Anna Bay,Hunter Valley exc Newcastle,New South Wales,152.03963475087804,-32.77363466095452
117,106031120,Lemon Tree Passage - Tanilba Bay,Hunter Valley exc Newcastle,New South Wales,152.00198082503042,-32.74425905494038
118,106031121,Nelson Bay Peninsula,Hunter Valley exc Newcastle,New South Wales,152.12666117446238,-32.73651861118153
119,106031122,Raymond Terrace,Hunter Valley exc Newcastle,New South Wales,151.7566405017951,-32.77040101159353
120,106031123,Seaham - Woodville,Hunter Valley exc Newcastle,New South Wales,151.70725564983084,-32.659250028045044
121,106031124,Tea Gardens - Hawks Nest,Hunter Valley exc Newcastle,New South Wales,152.1269779040778,-32.62784341006567
122,106031125,Williamtown - Medowie - Karuah,Hunter Valley exc Newcastle,New South Wales,151.89323999188235,-32.71715221861849
123,106041126,Muswellbrook,Hunter Valley exc Newcastle,New South Wales,150.90825490646662,-32.31408195065082
124,106041127,Muswellbrook Region,Hunter Valley exc Newcastle,New South Wales,150.60712074900485,-32.45041662043092
125,106041128,Scone,Hunter Valley exc Newcastle,New South Wales,150.8579909671547,-32.05016641959478
126,106041129,Scone Region,Hunter Valley exc Newcastle,New South Wales,150.72772544920574,-31.967119084967766
127,107011131,Dapto - Avondale,Illawarra,New South Wales,150.76652188117995,-34.52249111700003
128,107011132,Horsley - Kembla Grange,Illawarra,New South Wales,150.76418461221746,-34.477475188160454
